Label,max_area,mean_landfalling_area,cumulative_landfalling_area,duration,max_south_extent,region,max_T2M_anomaly_ais,max_IWV_ais,max_IWV_anomaly_ais,max_ocean_SLP_gradient,cumulative_rainfall_ais,cumulative_snowfall_ais,avg_landfalling_minomega,max_landfalling_v850hPa,max_vIVT_ais
1982_4,1222435,4881,6102,30,-73.0,West,4.31170654296875,16.541563034057617,8.097079277038574,4.355287018802524,0.002419510498976994,0.030349816020260583,-1.4705740504549338,28.26045227050781,359.15252685546875
1982_6,771306,222059,27757,3,-85.0,East 2,5.725616455078125,7.56204891204834,2.5453453063964844,2.657653137993996,0.00035861519070599847,0.04967645288537597,-0.1931102366587538,22.452348709106445,96.9523468017578
1982_8,3927243,240420,961682,96,-85.0,West,9.489898681640623,27.49477195739746,18.795333862304688,4.941362573204088,0.07958240014935203,1.1367776757438142,-0.3403679124902622,31.675064086914062,545.0036010742188
1982_11,1242231,96550,108619,27,-80.5,East 2,9.317428588867188,10.959547996520996,6.198629856109619,4.3074135220997976,0.0,0.15258543670904512,-0.4827638522582246,38.25951385498047,153.09320068359375
1982_14,1537999,373220,606483,39,-85.0,West,18.05963134765625,13.166205406188965,8.488367080688477,4.653936663471784,0.0,0.9080497439833112,-0.2890783548355102,25.60525321960449,303.59552001953125
1982_15,1932121,56054,63061,27,-72.5,East 2,9.296875,10.74623203277588,6.420252799987793,7.234951126465971,0.0,0.2516342287471159,-0.4830872522759599,38.604976654052734,137.72691345214844
1982_16,382605,380703,47587,3,-81.0,East 2,12.120223999023438,2.1060891151428223,0.667957067489624,0.9293783301096936,0.0,0.009424722013392168,-0.126307419363416,-2.182173728942871,11.52151870727539
1982_17,2648639,23105,43322,45,-81.0,East 2,10.186859130859377,11.941317558288574,7.682435989379883,5.615148641518598,0.0,0.04683529577033347,-0.2434279390584832,32.44396209716797,152.5970001220703
1982_20,1932038,227632,426811,45,-85.0,West,24.47178649902344,15.826303482055664,9.71710205078125,5.092907988299672,0.00692330928368291,1.1420650615140535,-0.6825044779197886,32.06271743774414,414.8861389160156
1982_21,1774047,439529,384588,21,-79.0,East 2,19.947906494140625,8.03686237335205,4.699195861816406,6.976017651689192,0.0,0.4278871960177482,-0.6236761911857912,29.56741714477539,188.51585388183597
1982_22,593728,28257,3532,3,-70.0,East 1,2.0252838134765625,5.544931411743164,2.427515983581543,8.460538912261184,0.0,0.024051337052903125,-1.2568269756931412,24.96050262451172,106.63201141357422
1982_23,1018334,733011,458132,15,-82.5,East 2,22.461410522460938,6.712246894836426,3.5778658390045166,4.094681363356918,0.0,0.3208143060531024,-0.3457767865433327,20.06879234313965,111.4225616455078
