date	temp2m	ewvf	swvf	latitude	longitude
2002-04-15	-59.9861	3.586387	-1.3555217	-75.0	123.0
2002-04-16	-54.286484	1.2507784	-2.5036612	-75.0	123.0
2002-04-17	-54.429153	1.2334633	-0.20468426	-75.0	123.0
2002-04-18	-60.05551	3.4170845	2.320864	-75.0	123.0
2002-04-19	-59.817215	3.625827	2.0700173	-75.0	123.0
2002-04-20	-60.474243	1.990516	-0.77021265	-75.0	123.0
2002-04-21	-61.452072	1.273865	-1.4499259	-75.0	123.0
2002-04-22	-58.48697	0.45139986	-1.5686064	-75.0	123.0
2002-04-23	-53.82303	2.284872	-2.491074	-75.0	123.0
2002-04-24	-57.83766	3.9548128	-0.7234602	-75.0	123.0
2002-04-25	-60.983215	3.2949169	-1.7852874	-75.0	123.0
2002-04-26	-59.05455	2.9284148	-1.9003711	-75.0	123.0
2002-04-27	-57.469055	4.535829	-2.0631065	-75.0	123.0
2002-04-28	-50.813965	10.065104	-5.0480905	-75.0	123.0
2002-04-29	-49.11203	10.256532	-4.77117	-75.0	123.0
2002-04-30	-49.805298	-0.6760026	-2.765297	-75.0	123.0
2002-05-01	-51.86197	2.5484457	-1.1379414	-75.0	123.0
2002-05-02	-55.514175	2.6754227	-1.1990795	-75.0	123.0
2002-05-03	-55.314438	1.1141818	-0.6605239	-75.0	123.0
2002-05-04	-57.226135	1.9751248	-2.01995	-75.0	123.0
2002-05-05	-57.61171	1.9125984	-1.1442351	-75.0	123.0
2002-05-06	-57.802185	0.48795396	-1.5335417	-75.0	123.0
2002-05-07	-55.67148	0.17628294	-0.7063775	-75.0	123.0
